Index_Number,Order_ID,Order_Date,Supplier_ID,Supplier_Name,Product_ID,Product_Name,Category,Customer_ID,Customer_Name,Customer_Country,Warehouse_ID,Warehouse_Name,Carrier,Quantity,Unit_Cost,Discount_Rate,Total_Value,Expected_Delivery,Actual_Delivery,Lead_Time_Days,Status,Delivery_Bucket
111,ORD-0111,09-05-2024,SUP-004,AsiaTrade Co,P-005,Rubber Seals,Components,C-003,IndustrialCorp,India,WH-04,Shanghai East,DHL Supply Chain,446,3.25,0.04,1391.52,11-06-2024,,33,In Transit,Pending
112,ORD-0112,05-11-2024,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-003,IndustrialCorp,India,WH-05,São Paulo North,Maersk Logistics,434,22,0,9548,02-12-2024,03-12-2024,27,Delivered,Late
113,ORD-0113,27-12-2023,SUP-001,GlobalParts Ltd,P-010,Bolt & Nut Sets,Hardware,C-003,IndustrialCorp,India,WH-04,Shanghai East,DHL Supply Chain,420,2.5,0.1,945,22-02-2024,,57,Pending,Pending
114,ORD-0114,10-02-2023,SUP-005,PrimeMaterials Corp,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,FedEx Freight,340,3.25,0.12,972.4,21-03-2023,,39,Cancelled,Pending
115,ORD-0115,30-10-2023,SUP-001,GlobalParts Ltd,P-010,Bolt & Nut Sets,Hardware,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,DHL Supply Chain,475,2.5,0.06,1116.25,29-12-2023,06-01-2024,60,Delivered,Late
116,ORD-0116,07-10-2023,SUP-002,TechSource Inc,P-003,Plastic Casings,Packaging,C-003,IndustrialCorp,India,WH-05,São Paulo North,DB Schenker,477,15.75,0.04,7212.24,01-11-2023,,25,Pending,Pending
117,ORD-0117,20-08-2023,SUP-004,AsiaTrade Co,P-005,Rubber Seals,Components,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,UPS Supply Chain,82,3.25,0.12,234.52,01-10-2023,11-10-2023,42,Delivered,Late
118,ORD-0118,10-04-2024,SUP-003,EuroParts GmbH,P-002,Steel Rods,Raw Material,C-001,AutoMakers Inc,USA,WH-04,Shanghai East,Maersk Logistics,73,8.5,0.1,558.45,26-04-2024,,16,Pending,Pending
119,ORD-0119,28-08-2023,SUP-003,EuroParts GmbH,P-010,Bolt & Nut Sets,Hardware,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,Maersk Logistics,355,2.5,0.09,807.62,01-11-2023,29-10-2023,65,Delivered,On Time
120,ORD-0120,20-04-2024,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-002,TechBuild GmbH,Germany,WH-05,São Paulo North,FedEx Freight,431,22,0.1,8533.8,14-05-2024,,24,Cancelled,Pending
121,ORD-0121,10-04-2023,SUP-001,GlobalParts Ltd,P-003,Plastic Casings,Packaging,C-001,AutoMakers Inc,USA,WH-01,Mumbai Central,Maersk Logistics,69,15.75,0.13,945.47,07-05-2023,,27,In Transit,Pending
122,ORD-0122,08-06-2023,SUP-002,TechSource Inc,P-007,Aluminum Sheets,Raw Material,C-003,IndustrialCorp,India,WH-04,Shanghai East,DB Schenker,310,18.5,0.1,5161.5,01-07-2023,,23,In Transit,Pending
123,ORD-0123,11-08-2023,SUP-004,AsiaTrade Co,P-010,Bolt & Nut Sets,Hardware,C-003,IndustrialCorp,India,WH-04,Shanghai East,FedEx Freight,199,2.5,0.07,462.67,14-10-2023,,64,Cancelled,Pending
124,ORD-0124,22-10-2024,SUP-002,TechSource Inc,P-006,Copper Wire,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-01,Mumbai Central,Maersk Logistics,471,22,0.01,10258.38,17-11-2024,,26,Pending,Pending
125,ORD-0125,19-10-2024,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-004,ManuFacture Ltd,UK,WH-01,Mumbai Central,FedEx Freight,118,120,0.01,14018.4,27-10-2024,,8,Cancelled,Pending
126,ORD-0126,21-07-2024,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,DHL Supply Chain,434,120,0.03,50517.6,04-08-2024,10-08-2024,14,Delivered,Late
127,ORD-0127,29-05-2023,SUP-002,TechSource Inc,P-006,Copper Wire,Raw Material,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,FedEx Freight,449,22,0.04,9482.88,17-06-2023,22-06-2023,19,Delivered,Late
128,ORD-0128,01-09-2023,SUP-002,TechSource Inc,P-002,Steel Rods,Raw Material,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,FedEx Freight,414,8.5,0.03,3413.43,16-09-2023,13-09-2023,15,Delivered,On Time
129,ORD-0129,02-05-2024,SUP-001,GlobalParts Ltd,P-003,Plastic Casings,Packaging,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,FedEx Freight,42,15.75,0.12,582.12,05-06-2024,,34,Cancelled,Pending
130,ORD-0130,21-09-2024,SUP-005,PrimeMaterials Corp,P-010,Bolt & Nut Sets,Hardware,C-004,ManuFacture Ltd,UK,WH-01,Mumbai Central,DB Schenker,494,2.5,0.12,1086.8,11-11-2024,19-11-2024,51,Delivered,Late
131,ORD-0131,16-02-2024,SUP-005,PrimeMaterials Corp,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,FedEx Freight,255,3.25,0.02,812.17,30-03-2024,06-04-2024,43,Delivered,Late
132,ORD-0132,10-05-2023,SUP-004,AsiaTrade Co,P-002,Steel Rods,Raw Material,C-003,IndustrialCorp,India,WH-01,Mumbai Central,DB Schenker,43,8.5,0.09,332.61,23-05-2023,29-05-2023,13,Delivered,Late
133,ORD-0133,01-06-2024,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,DB Schenker,242,22,0.12,4685.12,29-06-2024,27-06-2024,28,Delivered,On Time
134,ORD-0134,14-12-2023,SUP-001,GlobalParts Ltd,P-009,LED Displays,Electronics,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,UPS Supply Chain,221,85,0.06,17657.9,03-01-2024,06-01-2024,20,Delivered,Late
135,ORD-0135,06-06-2023,SUP-001,GlobalParts Ltd,P-006,Copper Wire,Raw Material,C-003,IndustrialCorp,India,WH-04,Shanghai East,Maersk Logistics,498,22,0.01,10846.44,06-07-2023,04-07-2023,30,Delivered,On Time
136,ORD-0136,03-03-2023,SUP-001,GlobalParts Ltd,P-002,Steel Rods,Raw Material,C-001,AutoMakers Inc,USA,WH-04,Shanghai East,Maersk Logistics,294,8.5,0.02,2449.02,18-03-2023,25-03-2023,15,Delivered,Late
137,ORD-0137,17-04-2023,SUP-003,EuroParts GmbH,P-007,Aluminum Sheets,Raw Material,C-003,IndustrialCorp,India,WH-01,Mumbai Central,DB Schenker,190,18.5,0.1,3163.5,03-05-2023,02-05-2023,16,Delivered,On Time
138,ORD-0138,13-10-2023,SUP-002,TechSource Inc,P-002,Steel Rods,Raw Material,C-005,PrimeAssembly Co,Japan,WH-03,Berlin Depot,Maersk Logistics,400,8.5,0.06,3196,25-10-2023,03-11-2023,12,Delivered,Late
139,ORD-0139,04-11-2024,SUP-005,PrimeMaterials Corp,P-010,Bolt & Nut Sets,Hardware,C-006,GlobalTech Solutions,Singapore,WH-05,São Paulo North,DB Schenker,321,2.5,0.03,778.42,01-01-2025,29-12-2024,58,Delivered,On Time
140,ORD-0140,04-11-2024,SUP-003,EuroParts GmbH,P-006,Copper Wire,Raw Material,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,DHL Supply Chain,299,22,0.02,6446.44,01-12-2024,29-11-2024,27,Delivered,On Time
141,ORD-0141,16-12-2023,SUP-001,GlobalParts Ltd,P-002,Steel Rods,Raw Material,C-002,TechBuild GmbH,Germany,WH-05,São Paulo North,UPS Supply Chain,242,8.5,0.06,1933.58,26-12-2023,,10,In Transit,Pending
142,ORD-0142,24-09-2024,SUP-003,EuroParts GmbH,P-010,Bolt & Nut Sets,Hardware,C-001,AutoMakers Inc,USA,WH-05,São Paulo North,FedEx Freight,90,2.5,0.01,222.75,14-11-2024,21-11-2024,51,Delivered,Late
143,ORD-0143,09-08-2023,SUP-004,AsiaTrade Co,P-007,Aluminum Sheets,Raw Material,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,UPS Supply Chain,149,18.5,0.05,2618.67,22-08-2023,,13,In Transit,Pending
144,ORD-0144,16-02-2023,SUP-001,GlobalParts Ltd,P-005,Rubber Seals,Components,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,DB Schenker,167,3.25,0.06,510.18,25-03-2023,,37,Cancelled,Pending
145,ORD-0145,21-05-2023,SUP-005,PrimeMaterials Corp,P-001,Electronic Components,Electronics,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,Maersk Logistics,402,45,0.05,17185.5,10-06-2023,11-06-2023,20,Delivered,Late
146,ORD-0146,21-12-2024,SUP-001,GlobalParts Ltd,P-008,Adhesive Compounds,Chemicals,C-002,TechBuild GmbH,Germany,WH-04,Shanghai East,DHL Supply Chain,282,9,0.08,2334.96,22-01-2025,,32,In Transit,Pending
147,ORD-0147,15-04-2024,SUP-003,EuroParts GmbH,P-002,Steel Rods,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,FedEx Freight,19,8.5,0.13,140.5,22-04-2024,,7,In Transit,Pending
148,ORD-0148,19-02-2024,SUP-005,PrimeMaterials Corp,P-007,Aluminum Sheets,Raw Material,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,UPS Supply Chain,68,18.5,0.03,1220.26,29-02-2024,02-03-2024,10,Delivered,Late
149,ORD-0149,22-03-2024,SUP-005,PrimeMaterials Corp,P-008,Adhesive Compounds,Chemicals,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,UPS Supply Chain,134,9,0.01,1193.94,28-04-2024,03-05-2024,37,Delivered,Late
150,ORD-0150,10-10-2024,SUP-003,EuroParts GmbH,P-006,Copper Wire,Raw Material,C-003,IndustrialCorp,India,WH-02,Chicago Hub,DHL Supply Chain,271,22,0.08,5485.04,28-10-2024,02-11-2024,18,Delivered,Late
151,ORD-0151,22-07-2023,SUP-003,EuroParts GmbH,P-006,Copper Wire,Raw Material,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,FedEx Freight,141,22,0.02,3039.96,11-08-2023,17-08-2023,20,Delivered,Late
152,ORD-0152,28-11-2024,SUP-001,GlobalParts Ltd,P-003,Plastic Casings,Packaging,C-004,ManuFacture Ltd,UK,WH-04,Shanghai East,DB Schenker,239,15.75,0.13,3274.9,28-12-2024,,30,Pending,Pending
153,ORD-0153,07-11-2023,SUP-003,EuroParts GmbH,P-003,Plastic Casings,Packaging,C-001,AutoMakers Inc,USA,WH-04,Shanghai East,UPS Supply Chain,333,15.75,0.09,4772.72,05-12-2023,,28,In Transit,Pending
154,ORD-0154,28-02-2023,SUP-003,EuroParts GmbH,P-009,LED Displays,Electronics,C-003,IndustrialCorp,India,WH-01,Mumbai Central,UPS Supply Chain,29,85,0.12,2169.2,17-03-2023,,17,In Transit,Pending
155,ORD-0155,17-08-2024,SUP-001,GlobalParts Ltd,P-002,Steel Rods,Raw Material,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,DB Schenker,246,8.5,0.07,1944.63,23-08-2024,,6,In Transit,Pending
156,ORD-0156,05-03-2023,SUP-005,PrimeMaterials Corp,P-004,Circuit Boards,Electronics,C-005,PrimeAssembly Co,Japan,WH-03,Berlin Depot,UPS Supply Chain,87,120,0.02,10231.2,27-03-2023,,22,Pending,Pending
157,ORD-0157,25-12-2024,SUP-003,EuroParts GmbH,P-002,Steel Rods,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-05,São Paulo North,DHL Supply Chain,136,8.5,0.08,1063.52,13-01-2025,17-01-2025,19,Delivered,Late
158,ORD-0158,13-12-2023,SUP-005,PrimeMaterials Corp,P-003,Plastic Casings,Packaging,C-003,IndustrialCorp,India,WH-03,Berlin Depot,Maersk Logistics,219,15.75,0.12,3035.34,03-01-2024,,21,In Transit,Pending
159,ORD-0159,18-10-2023,SUP-003,EuroParts GmbH,P-002,Steel Rods,Raw Material,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,DB Schenker,207,8.5,0.11,1565.95,31-10-2023,,13,Cancelled,Pending
160,ORD-0160,25-12-2023,SUP-005,PrimeMaterials Corp,P-003,Plastic Casings,Packaging,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,DB Schenker,82,15.75,0.15,1097.77,23-01-2024,,29,Cancelled,Pending
161,ORD-0161,21-01-2024,SUP-004,AsiaTrade Co,P-003,Plastic Casings,Packaging,C-006,GlobalTech Solutions,Singapore,WH-05,São Paulo North,FedEx Freight,296,15.75,0.02,4568.76,20-02-2024,01-03-2024,30,Delivered,Late
162,ORD-0162,13-11-2023,SUP-005,PrimeMaterials Corp,P-002,Steel Rods,Raw Material,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,Maersk Logistics,195,8.5,0.05,1574.62,23-11-2023,23-11-2023,10,Delivered,On Time
163,ORD-0163,14-04-2023,SUP-004,AsiaTrade Co,P-004,Circuit Boards,Electronics,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,DHL Supply Chain,161,120,0.05,18354,23-04-2023,30-04-2023,9,Delivered,Late
164,ORD-0164,10-12-2024,SUP-005,PrimeMaterials Corp,P-003,Plastic Casings,Packaging,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,DHL Supply Chain,102,15.75,0.07,1494.04,04-01-2025,12-01-2025,25,Delivered,Late
165,ORD-0165,04-04-2024,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DB Schenker,395,22,0.04,8342.4,26-04-2024,01-05-2024,22,Delivered,Late
166,ORD-0166,16-10-2023,SUP-004,AsiaTrade Co,P-004,Circuit Boards,Electronics,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,DB Schenker,246,120,0.08,27158.4,05-11-2023,,20,In Transit,Pending
167,ORD-0167,18-10-2024,SUP-004,AsiaTrade Co,P-003,Plastic Casings,Packaging,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,DHL Supply Chain,36,15.75,0.06,532.98,22-11-2024,02-12-2024,35,Delivered,Late
168,ORD-0168,05-04-2024,SUP-001,GlobalParts Ltd,P-009,LED Displays,Electronics,C-003,IndustrialCorp,India,WH-01,Mumbai Central,FedEx Freight,149,85,0.07,11778.45,15-04-2024,25-04-2024,10,Delivered,Late
169,ORD-0169,29-05-2024,SUP-002,TechSource Inc,P-008,Adhesive Compounds,Chemicals,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,UPS Supply Chain,212,9,0.06,1793.52,04-07-2024,04-07-2024,36,Delivered,On Time
170,ORD-0170,27-10-2024,SUP-001,GlobalParts Ltd,P-006,Copper Wire,Raw Material,C-001,AutoMakers Inc,USA,WH-02,Chicago Hub,Maersk Logistics,439,22,0.02,9464.84,21-11-2024,30-11-2024,25,Delivered,Late
171,ORD-0171,04-04-2024,SUP-001,GlobalParts Ltd,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,DHL Supply Chain,250,3.25,0.14,698.75,04-05-2024,,30,Cancelled,Pending
172,ORD-0172,24-06-2024,SUP-001,GlobalParts Ltd,P-005,Rubber Seals,Components,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,DB Schenker,321,3.25,0.02,1022.38,06-08-2024,,43,Cancelled,Pending
173,ORD-0173,16-10-2024,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,FedEx Freight,224,120,0.02,26342.4,07-11-2024,05-11-2024,22,Delivered,On Time
174,ORD-0174,28-05-2023,SUP-004,AsiaTrade Co,P-010,Bolt & Nut Sets,Hardware,C-001,AutoMakers Inc,USA,WH-05,São Paulo North,DB Schenker,133,2.5,0.06,312.55,26-07-2023,,59,Pending,Pending
175,ORD-0175,15-11-2024,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,UPS Supply Chain,350,22,0.15,6545,02-12-2024,07-12-2024,17,Delivered,Late
176,ORD-0176,04-02-2024,SUP-001,GlobalParts Ltd,P-009,LED Displays,Electronics,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,DB Schenker,20,85,0.01,1683,25-02-2024,,21,Pending,Pending
177,ORD-0177,11-03-2023,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,FedEx Freight,413,22,0.11,8086.54,06-04-2023,06-04-2023,26,Delivered,On Time
178,ORD-0178,13-12-2023,SUP-001,GlobalParts Ltd,P-010,Bolt & Nut Sets,Hardware,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,FedEx Freight,289,2.5,0.12,635.8,06-02-2024,16-02-2024,55,Delivered,Late
179,ORD-0179,13-04-2024,SUP-004,AsiaTrade Co,P-008,Adhesive Compounds,Chemicals,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,FedEx Freight,407,9,0.04,3516.48,09-05-2024,,26,Cancelled,Pending
180,ORD-0180,10-07-2024,SUP-001,GlobalParts Ltd,P-004,Circuit Boards,Electronics,C-003,IndustrialCorp,India,WH-01,Mumbai Central,Maersk Logistics,213,120,0.04,24537.6,02-08-2024,,23,Pending,Pending
181,ORD-0181,12-01-2024,SUP-002,TechSource Inc,P-005,Rubber Seals,Components,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,Maersk Logistics,73,3.25,0.11,211.15,24-02-2024,27-02-2024,43,Delivered,Late
182,ORD-0182,15-06-2024,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,UPS Supply Chain,483,22,0.01,10519.74,08-07-2024,17-07-2024,23,Delivered,Late
183,ORD-0183,25-11-2023,SUP-004,AsiaTrade Co,P-002,Steel Rods,Raw Material,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,DHL Supply Chain,160,8.5,0.01,1346.4,03-12-2023,,8,Pending,Pending
184,ORD-0184,30-03-2024,SUP-003,EuroParts GmbH,P-005,Rubber Seals,Components,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,UPS Supply Chain,363,3.25,0.01,1167.95,10-05-2024,14-05-2024,41,Delivered,Late
185,ORD-0185,14-10-2024,SUP-003,EuroParts GmbH,P-010,Bolt & Nut Sets,Hardware,C-003,IndustrialCorp,India,WH-04,Shanghai East,FedEx Freight,353,2.5,0.08,811.9,15-12-2024,17-12-2024,62,Delivered,Late
186,ORD-0186,10-03-2023,SUP-002,TechSource Inc,P-001,Electronic Components,Electronics,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,UPS Supply Chain,74,45,0.1,2997,29-03-2023,07-04-2023,19,Delivered,Late
187,ORD-0187,05-04-2024,SUP-003,EuroParts GmbH,P-007,Aluminum Sheets,Raw Material,C-001,AutoMakers Inc,USA,WH-05,São Paulo North,DB Schenker,357,18.5,0.07,6142.18,26-04-2024,28-04-2024,21,Delivered,Late
188,ORD-0188,27-10-2024,SUP-001,GlobalParts Ltd,P-010,Bolt & Nut Sets,Hardware,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,Maersk Logistics,170,2.5,0.04,408,24-12-2024,,58,In Transit,Pending
189,ORD-0189,29-07-2024,SUP-001,GlobalParts Ltd,P-001,Electronic Components,Electronics,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DB Schenker,477,45,0.04,20606.4,13-08-2024,,15,In Transit,Pending
190,ORD-0190,17-05-2024,SUP-003,EuroParts GmbH,P-008,Adhesive Compounds,Chemicals,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,Maersk Logistics,479,9,0.02,4224.78,17-06-2024,,31,Cancelled,Pending
191,ORD-0191,29-11-2024,SUP-001,GlobalParts Ltd,P-008,Adhesive Compounds,Chemicals,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,UPS Supply Chain,424,9,0.05,3625.2,03-01-2025,10-01-2025,35,Delivered,Late
192,ORD-0192,27-12-2024,SUP-001,GlobalParts Ltd,P-009,LED Displays,Electronics,C-003,IndustrialCorp,India,WH-05,São Paulo North,Maersk Logistics,374,85,0.05,30200.5,07-01-2025,16-01-2025,11,Delivered,Late
193,ORD-0193,05-01-2024,SUP-002,TechSource Inc,P-002,Steel Rods,Raw Material,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,DHL Supply Chain,23,8.5,0.07,181.81,21-01-2024,,16,In Transit,Pending
194,ORD-0194,05-05-2024,SUP-005,PrimeMaterials Corp,P-003,Plastic Casings,Packaging,C-001,AutoMakers Inc,USA,WH-05,São Paulo North,FedEx Freight,213,15.75,0.06,3153.46,07-06-2024,16-06-2024,33,Delivered,Late
195,ORD-0195,27-11-2024,SUP-005,PrimeMaterials Corp,P-002,Steel Rods,Raw Material,C-003,IndustrialCorp,India,WH-02,Chicago Hub,FedEx Freight,248,8.5,0.02,2065.84,13-12-2024,,16,In Transit,Pending
196,ORD-0196,26-02-2023,SUP-005,PrimeMaterials Corp,P-010,Bolt & Nut Sets,Hardware,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,UPS Supply Chain,476,2.5,0.08,1094.8,20-04-2023,,53,Pending,Pending
197,ORD-0197,15-06-2024,SUP-003,EuroParts GmbH,P-003,Plastic Casings,Packaging,C-003,IndustrialCorp,India,WH-02,Chicago Hub,DHL Supply Chain,495,15.75,0.01,7718.29,14-07-2024,24-07-2024,29,Delivered,Late
198,ORD-0198,06-04-2023,SUP-002,TechSource Inc,P-009,LED Displays,Electronics,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,Maersk Logistics,283,85,0.09,21890.05,17-04-2023,,11,Pending,Pending
199,ORD-0199,11-09-2024,SUP-005,PrimeMaterials Corp,P-003,Plastic Casings,Packaging,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,DB Schenker,471,15.75,0.13,6453.88,11-10-2024,,30,Cancelled,Pending
200,ORD-0200,13-08-2024,SUP-005,PrimeMaterials Corp,P-001,Electronic Components,Electronics,C-001,AutoMakers Inc,USA,WH-01,Mumbai Central,FedEx Freight,404,45,0.1,16362,02-09-2024,,20,Cancelled,Pending
201,ORD-0201,04-10-2024,SUP-005,PrimeMaterials Corp,P-007,Aluminum Sheets,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-05,São Paulo North,FedEx Freight,465,18.5,0.1,7742.25,23-10-2024,,19,In Transit,Pending
202,ORD-0202,16-03-2023,SUP-003,EuroParts GmbH,P-008,Adhesive Compounds,Chemicals,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,UPS Supply Chain,242,9,0.07,2025.54,11-04-2023,10-04-2023,26,Delivered,On Time
203,ORD-0203,23-11-2023,SUP-004,AsiaTrade Co,P-008,Adhesive Compounds,Chemicals,C-003,IndustrialCorp,India,WH-02,Chicago Hub,DB Schenker,170,9,0.02,1499.4,29-12-2023,01-01-2024,36,Delivered,Late
204,ORD-0204,06-05-2023,SUP-003,EuroParts GmbH,P-009,LED Displays,Electronics,C-001,AutoMakers Inc,USA,WH-05,São Paulo North,Maersk Logistics,248,85,0.04,20236.8,20-05-2023,24-05-2023,14,Delivered,Late
205,ORD-0205,13-06-2023,SUP-001,GlobalParts Ltd,P-001,Electronic Components,Electronics,C-004,ManuFacture Ltd,UK,WH-03,Berlin Depot,DB Schenker,137,45,0.14,5301.9,05-07-2023,,22,In Transit,Pending
206,ORD-0206,12-11-2023,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DB Schenker,265,120,0,31800,05-12-2023,,23,In Transit,Pending
207,ORD-0207,19-02-2023,SUP-004,AsiaTrade Co,P-009,LED Displays,Electronics,C-002,TechBuild GmbH,Germany,WH-04,Shanghai East,DHL Supply Chain,190,85,0.04,15504,26-02-2023,,7,Pending,Pending
208,ORD-0208,18-05-2023,SUP-005,PrimeMaterials Corp,P-008,Adhesive Compounds,Chemicals,C-005,PrimeAssembly Co,Japan,WH-03,Berlin Depot,FedEx Freight,230,9,0.05,1966.5,20-06-2023,28-06-2023,33,Delivered,Late
209,ORD-0209,19-07-2023,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-01,Mumbai Central,FedEx Freight,297,22,0.08,6011.28,14-08-2023,,26,Pending,Pending
210,ORD-0210,30-09-2024,SUP-001,GlobalParts Ltd,P-007,Aluminum Sheets,Raw Material,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,DB Schenker,432,18.5,0.15,6793.2,13-10-2024,12-10-2024,13,Delivered,On Time
211,ORD-0211,08-09-2024,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-005,PrimeAssembly Co,Japan,WH-03,Berlin Depot,Maersk Logistics,111,22,0.01,2417.58,05-10-2024,10-10-2024,27,Delivered,Late
212,ORD-0212,12-09-2024,SUP-001,GlobalParts Ltd,P-003,Plastic Casings,Packaging,C-004,ManuFacture Ltd,UK,WH-03,Berlin Depot,DB Schenker,86,15.75,0.05,1286.77,06-10-2024,,24,In Transit,Pending
213,ORD-0213,03-11-2023,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DB Schenker,441,22,0.08,8925.84,28-11-2023,,25,Cancelled,Pending
214,ORD-0214,18-01-2023,SUP-005,PrimeMaterials Corp,P-009,LED Displays,Electronics,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,DB Schenker,253,85,0.1,19354.5,04-02-2023,06-02-2023,17,Delivered,Late
215,ORD-0215,29-09-2023,SUP-004,AsiaTrade Co,P-010,Bolt & Nut Sets,Hardware,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,FedEx Freight,252,2.5,0.11,560.7,25-11-2023,,57,Pending,Pending
216,ORD-0216,28-11-2024,SUP-005,PrimeMaterials Corp,P-008,Adhesive Compounds,Chemicals,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,DB Schenker,85,9,0,765,30-12-2024,,32,In Transit,Pending
217,ORD-0217,27-02-2024,SUP-001,GlobalParts Ltd,P-004,Circuit Boards,Electronics,C-004,ManuFacture Ltd,UK,WH-01,Mumbai Central,Maersk Logistics,87,120,0.06,9813.6,12-03-2024,,14,In Transit,Pending
218,ORD-0218,28-07-2024,SUP-005,PrimeMaterials Corp,P-008,Adhesive Compounds,Chemicals,C-006,GlobalTech Solutions,Singapore,WH-01,Mumbai Central,DHL Supply Chain,116,9,0.15,887.4,01-09-2024,,35,Pending,Pending
219,ORD-0219,29-06-2024,SUP-004,AsiaTrade Co,P-009,LED Displays,Electronics,C-003,IndustrialCorp,India,WH-04,Shanghai East,DHL Supply Chain,477,85,0.08,37301.4,15-07-2024,,16,In Transit,Pending
220,ORD-0220,02-11-2023,SUP-003,EuroParts GmbH,P-010,Bolt & Nut Sets,Hardware,C-002,TechBuild GmbH,Germany,WH-04,Shanghai East,DHL Supply Chain,295,2.5,0.12,649,29-12-2023,30-12-2023,57,Delivered,Late
221,ORD-0221,08-10-2023,SUP-002,TechSource Inc,P-008,Adhesive Compounds,Chemicals,C-004,ManuFacture Ltd,UK,WH-03,Berlin Depot,Maersk Logistics,488,9,0.02,4304.16,11-11-2023,,34,Pending,Pending
